date,title,venue,city,description
Sat Dec 14,The 9am Banger Presents: Banger B4 Xmas,Melrose Ballroom  Queens ,New York,Yerrrrrrrrr…. It's that time again. The most wonderful time of year. The time of the year where you wake up at 7am with more energy and more enthusiasm than ever before to attend a party like no other. #The9amBanger makes its infamous return !! #BangerB4XmasForget waking up on time to make it to work! That’s for lames!Wake up early to dress up in a santa outfit to go drink with your friends because why not?? Life is made up of small moments like these.The details are as followed:Location is Melrose Ballroom. Event runs from 9am to 4pm. OPEN BAR 9:00am-11:00am.It’s all about having a fun and being surrounded by friends liquor good music. Come ready to have an amazing time. DRINK RESPONSIBLY!Creative costumes highly suggested!NO REFUNDS. All sales are final!!
Sat Dec 21,Lea Michele:  Christmas in the City,Concert Hall @  Society For Ethical Culture ,New York,Public on-sale: Saturday November 2 @ 10AM****************************************************VIP PACKAGES AVAILABLE!GOLD MEET & GREET PACKAGE $449 USD ·         One premium reserved ticket in rows 1 through 5*·         Exclusive pre-show Photo Op with Lea Michele (one photo per party)           ·         Autographed Lea Michele poster specially designed for package holders·         Commemorative Meet & Greet laminate·         Collectible Lea Michele gift item·         Pre-show merchandise shopping opportunity·         On-site VIP host and dedicated check-in*Locations vary see specific date for exact location.  Package details and timing subject to change.  All activities occur before the show. SILVER MEET & GREET PACKAGE $299 USD ·         One premium reserved ticket in rows 7 through 10*·         Exclusive pre-show Photo Op with Lea Michele (one photo per party)·         Lea Michele poster specially designed for package holders·         Commemorative Meet & Greet laminate·         Collectible Lea Michele gift item·         Pre-show merchandise shopping opportunity·         On-site VIP host and dedicated check-in*Locations vary see specific date for exact location.  Package details and timing subject to change.  All activities occur before the show.
Tue Dec 31,TOUR AVIVA2020  YANKEE STADIUM NOCHE 2,1 E 161 St  The Bronx ,New York,SHEKINAH DONDE LA PRESENCIA DE DIOS HABITA
Sat Dec 28,Nora En Pure,Great Hall - Avant Gardner ,New York,Nora En Pure returns to Brooklyn after a stunning sold-out show last May! She is well known for her brighter brand of deep house breathing life and light into the genre. Her music connects the dots between disparate styles forming a sonic mosaic that inspires a sense of wanderlust in the listener. Support from Worakls Enamour Local DialectLimited tables available. To make a reservation please email reservations@avant-gardner.com19+
Sat Dec 14,29Rooms New York - December 142019,25 Kent ,New York,The Expand Your Reality Tour is the latest 29Rooms experience from Refinery29 - a space where you're encouraged to step into the art wear the art touch the art and connect with others (and yourself) in the process.  Created in collaboration with innovative talent visionary artists and your favorite brands 29Rooms pairs the joy and play of exploration with the pulse of current events and culture. SESSION TIMES:Open daily beginning at 10:30AM on weekends and 1:30PM on weekdays*Your 29Rooms GA ticket gives you 2.5 hours to explore our creative world a.k.a. plenty of time to fully immerse yourself and let your imagination run wild. But be sure to check the session start time on your ticket as you will only be granted entry at that specific time.IMPORTANT INFORMATION:In order to get the most out of your 29Rooms visit we recommend arriving 15 minutes before your session’s start time to ensure a quick and easy check-in. (So if your start time is 5:30 PM try getting to the venue by 5:15 PM!)29Rooms TICKET POLICY:There are no ticket refunds or exchanges. All sales are final. Event is rain or shine.Children 2 & under are admitted FREETickets are only valid for the date and session on your ticket. Sessions are valid for 2.5 hours after the designated start time.If you can’t find your PDF or Mobile ticket please visit the Tickets section of your Eventbrite account.In the event that the purchaser cannot use ticket tickets are transferable (i.e. purchaser can give their ticket to a friend for use). Entry is based on ticket barcode (not name of purchaser).Each ticket will be scanned and is only good for ONE single-person entry. There is no re-entry.Need Help?Head to www.29Rooms.com for more information including our Frequently Asked Questions.Follow us on social @29Rooms for all updates and announcements. And feel free to DM us with any comments questions or cute dog memes.Still have a question that hasn't been addressed or want to find out how you can be more involved with 29Rooms? Email us at info@29Rooms.com.
Mon Dec 16,Adam Lambert,Bowery Ballroom ,New York,Tickets on sale Fri 9/20 at 12pm ESTCiti® Cardmember Presale: Tues9/17 at 10am - Thurs 9/19 at 10pm ESTCode: Use the first six digits of your Citi® card.*Tickets will be delivered at a later date prior to the show.
Sat Nov 30,ROOFTOP PARTY SATURDAY NIGHT | TIMES SQUARE NEW YORK,Sky Room ,New York,not available
Tue Dec 31,FREE NEW YEARS EVE PARTY TICKETS !,BROOKLYN and QUEENS ,New York,not available
Fri Nov 29,Free Comedy Show - Thanksgiving Weekend Edition,O.P.P.A. ,New York,not available
Sat Dec 14,PetCon NYC 2019,Metropolitan Pavilion   ,New York,not available
Sat Dec 14,Santacon 2019 : New York City ✦OFFICIAL✦,Metropolitan Pavilion   ,New York,not available
Wed Nov 27,THANKSGIVING EVE LATIN PARTY |  Free Entry  |TIMES SQUARE NEW YORK,La Terraza Rooftop C ,New York,not available
Sat Dec 7,Carnival Saturdays @ Jouvay Nightclub,Jouvay Night Club  Queens ,New York,not available
Sat Dec 21,DOK2 US WINTER TOUR 2019,Melrose Ballroom  Astoria ,New York,"Socialite & 2MENGROUP Presents	DOK2 US WINTER TOUR 2019	Dok2 was awarded 2015 2016 Best Rap Performance award at the MNET Music Awards. He has worked and produced many songs with well known artists such as Jay Park Epik High Simon Dominic Dynamic Duo Gdragon and more.		Tickets go on sale Monday October 7 - 12pm in all cities. Presale earlybird starts Saturday October 5 - 12pm		P1 - *LIMITED AMOUNT* Selfie M&G using your own phone VVIP Admission best seats in the house and includes tour hat & t shirt.		P2 - Meet & Greet - Group Photo with 5 people. VIP Admission - 2nd to line up for the concert.		P3 - VIP - Early entrance 3rd to line up for the concert.		P4 - GA - General admission - Last to enter		GA EARLY BIRDS will be available	Don’t miss out on Dok2s first us solo tour and Korea’s top hip hop rapper.	We also have a special guest rapper DoubleK that will be joinning the tour!	This event is ALL AGES & NO REFUNDS. You can sell or give your ticket to another concert goer.		Merchandise will also be available for sale!	More Info – dok2uswintertour.com	Here are a few of his music videos		Dok2 – Still On My Way Music Video	https://www.youtube.com/watch?v=BX853WjS9Cc	Dok2 – steal	https://www.youtube.com/watch?v=dAyzRNu0YYQ		Dok2 – Bevery 1lls	https://www.youtube.com/watch?v=Yv7mBcWQNdc"
Thu Jan 3,Lux Gala @ Amadeus nightclub litt Friday Jan 3rd,Amadeus Nightclub  Queens ,New York,not available
Sat Nov 30,Infected Mushroom (Live),Kings Hall - Avant Gardner ,New York,FINAL 50 TICKETS REMAINAfter two decades of sonic innovations genre-defying sound and unrivaled production quality Infected Mushroom has earned their reputation as groundbreaking legends within electronic music. Their unique trademark sound is constructed through hypnotic arrangements complex layered melodies and their willingness to experiment outside of traditional genre constraints. 21+
Fri Dec 20,Audien,Great Hall - Avant Gardner ,New York,The wait is officially over for Audien to make his headlining return to New York City with a stop at Avant Gardner to close out the year on 12/20 for his 'Escapism Tour.'---Please be advised that events at Avant Gardner are subject to contain flashing lights and strobe effects which may affect individuals who are susceptible to photosensitive epilepsy or other photosensitivity.
